,id,date,month,day_of_week,mood,activity,circumplex.arousal,circumplex.valence,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,screen_activations,max_screen_duration_day_part,is_weekend,NaN_streak,days_since_NaN,prev_day_mood,prev_morning_mood,prev_afternoon_mood,prev_evening_mood,prev_night_mood,prev_day_screen,prev_evening_screentime,temp,sun_hours,sun_percentage,rain,clouds
7,AS14.01,2014-02-26,2,3,6.25,,-0.25,0.75,,1.0,2.0,,,,,,,,,,,,,,,no,0,1,,,,,,,,110,65,61,0,    2
8,AS14.01,2014-02-27,2,4,6.333333333333333,,0.0,0.3333333333333333,,,,,,,,,,,,,,,,,,no,0,1,6.25,,6.0,,,,,71,15,14,29,    6
9,AS14.01,2014-02-28,2,5,,,,,,4.0,,,,,,,,,,,,,,,,no,1,0,6.333333333333333,,,,,,,84,22,20,13,    6
10,AS14.01,2014-03-01,3,6,,,,,,,1.0,,,,,,,,,,,,,,,yes,2,0,,,,,,,,83,12,11,27,    8
11,AS14.01,2014-03-03,3,1,,,,,,1.0,,,,,,,,,,,,,,,,no,3,0,,,,,,,,93,17,15,8,    5
12,AS14.01,2014-03-05,3,3,,,,,,1.0,,,,,,,,,,,,,,,,no,4,0,,,,,,,,121,82,74,0,    3
13,AS14.01,2014-03-06,3,4,,,,,,1.0,,,,,,,,,,,,,,,,no,5,0,,,,,,,,127,32,29,0,    6
14,AS14.01,2014-03-07,3,5,,,,,,5.0,,,,,,,,,,,,,,,,no,6,0,,,,,,,,123,25,22,-1,    3
15,AS14.01,2014-03-10,3,1,,,,,,1.0,,,,,,,,,,,,,,,,no,7,0,,,,,,,,174,102,89,0,    3
16,AS14.01,2014-03-11,3,2,,,,,,3.0,,,,,,,,,,,,,,,,no,8,0,,,,,,,,131,58,50,0,    4
17,AS14.01,2014-03-12,3,3,,,,,,7.0,1.0,,,,,,,,,,,,,,,no,9,0,,,,,,,,150,103,89,0,    0
18,AS14.01,2014-03-13,3,4,,,,,,4.0,,,,,,,,,,,,,,,,no,10,0,,,,,,,,161,107,92,0,    0
19,AS14.01,2014-03-14,3,5,,,,,,3.0,1.0,,,,,,,,,,,,,,,no,11,0,,,,,,,,103,47,40,0,    4
20,AS14.01,2014-03-15,3,6,,,,,,,1.0,,,,,,,,,,,,,,,yes,12,0,,,,,,,,114,39,33,0,    7
21,AS14.01,2014-03-16,3,7,,,,,,,3.0,,,,,,,,,,,,,,,yes,13,0,,,,,,,,127,70,59,0,    6
22,AS14.01,2014-03-17,3,1,,,,,,,1.0,,,,,,,,,,,,,,,no,14,0,,,,,,,,118,0,0,0,    8
23,AS14.01,2014-03-18,3,2,,,,,,1.0,2.0,,,,,,,,,,,,,,,no,15,0,,,,,,,,110,5,4,21,    7
24,AS14.01,2014-03-19,3,3,,,,,,1.0,,,,,,,,,,,,,,,,no,16,0,,,,,,,,135,62,51,-1,    4
25,AS14.01,2014-03-20,3,4,,0.081547619047619,,,2275.9440002441406,1.0,,248.979,2168.229,350.856,,,,11.345,807.731,,45.173,21.074,,9.0,evening,no,17,0,,,,,,,,200,113,93,0,    2
26,AS14.01,2014-03-21,3,5,6.2,0.1340501039893886,0.2,0.2,17978.907000064843,6.0,,3139.218,6280.889999999999,1007.456,49.544,,172.20600000000002,239.751,4508.500000000001,915.4450000000002,,598.754,,117.0,afternoon,no,0,1,,6.0,6.5,6.5,,2275.9440002441406,2275.9440002441406,118,45,37,211,    5
27,AS14.01,2014-03-22,3,6,6.4,0.2368802192399581,0.6,0.5,6142.160999536513,3.0,1.0,731.4290000000002,4962.918,93.324,21.076,,,98.143,439.6319999999999,37.305,,117.621,,129.0,afternoon,yes,0,1,6.2,6.0,7.0,6.0,,17978.907000064843,3456.6960000991835,106,34,28,1,    4
28,AS14.01,2014-03-23,3,7,6.8,0.1427411158050636,0.2,0.8,6773.832001447676,,,1286.246,5237.319,94.346,43.403000000000006,,,72.82300000000001,900.839,,,30.086,30.386,101.0,evening,yes,0,1,6.4,7.0,7.0,5.5,,6142.160999536513,2340.9920001029955,97,64,52,39,    4
29,AS14.01,2014-03-24,3,1,6.0,0.0789610561155979,0.8,0.0,15047.351000547404,10.0,,866.9559999999999,9270.629,976.971,34.106,,3.01,66.55799999999999,3223.6259999999997,419.805,,178.732,,196.0,morning,no,0,1,6.8,7.0,7.5,6.0,,6773.832001447676,3725.025000572203,99,103,83,16,    2
30,AS14.01,2014-03-25,3,2,6.75,0.0983741123905067,0.5,0.5,21475.35499906539,,1.0,1032.768,10276.751,68.206,43.053999999999995,,,178.819,1919.471,,235.223,222.893,,127.0,evening,no,0,1,6.0,6.0,6.0,6.0,,15047.351000547404,5557.151000261307,108,90,72,0,    1
31,AS14.01,2014-03-26,3,3,6.6,0.1013083216700759,-0.2,0.6,16423.80100035667,,,1167.497,8988.752999999999,910.479,52.331,,,97.498,4592.059,,,33.365,,174.0,evening,no,0,1,6.75,6.0,7.0,7.0,,21475.35499906539,13027.859999895089,88,44,35,2,    4
32,AS14.01,2014-03-27,3,4,7.0,0.1595106409690974,0.2,0.8,17442.14999938011,2.0,1.0,1229.327,6936.512,639.3389999999999,42.218999999999994,,182.451,58.532,935.381,47.314,,179.02899999999997,,135.0,morning,no,0,1,6.6,7.0,6.5,6.5,,16423.80100035667,7391.634999990461,138,84,67,1,    4
