,next_day_mood
516,6.6
517,6.2
518,8.0
519,6.5
520,6.75
521,6.2
522,7.0
523,7.333333333333333
524,7.5
525,7.4
526,7.4
527,7.0
528,6.8
529,8.0
530,6.666666666666667
531,7.75
532,7.5
533,0.0
534,7.5
535,6.0
536,6.0
537,6.2
538,6.5
539,6.75
540,7.5
541,7.0
542,7.0
543,7.0
544,7.333333333333333
545,8.0
546,8.0
547,7.666666666666667
548,0.0
549,0.0
550,7.0
551,6.0
552,6.666666666666667
553,6.8
554,6.8
555,7.0
556,0.0
557,6.75
558,6.166666666666667
559,6.4
560,7.2
561,7.4
562,7.0
563,7.0
564,7.0
565,7.0
566,7.0
567,7.0
568,7.2
569,7.0
570,7.2
571,7.0
572,7.4
573,7.2
574,7.2
575,7.2
576,7.2
577,7.2
578,7.8
579,6.2
580,6.8
581,6.8
582,7.0
583,7.2
584,7.0
585,7.4
586,7.0
587,7.0
588,7.0
589,7.0
590,6.4
591,6.0
592,7.0
593,7.0
594,7.2
595,7.0
596,7.0
597,7.0
598,7.0
599,6.2
600,7.0
601,7.0
602,7.0
603,6.0
604,6.6
605,7.0
606,6.8
607,7.0
608,7.0
609,0.0
610,7.0
611,7.0
612,0.0
613,7.4
614,6.4
615,6.6
616,7.2
617,6.6
618,6.4
619,5.666666666666667
620,6.8
621,6.5
622,7.0
623,6.4
624,6.0
625,5.6
626,6.0
627,6.5
628,6.0
629,5.4
630,6.0
631,5.8
632,6.4
633,6.25
634,6.2
635,7.0
636,6.75
637,7.0
638,6.4
639,7.2
640,6.6
641,7.0
642,7.0
643,6.4
644,7.0
645,6.6
646,7.25
647,7.0
648,6.8
649,7.2
650,7.0
651,7.25
652,6.6
653,7.25
654,5.4
655,7.2
656,6.75
657,7.2
658,8.0
659,7.0
660,7.0
661,7.0
662,8.0
663,0.0
664,7.0
665,7.333333333333333
666,0.0
667,8.0
668,7.25
669,7.5
670,7.6
671,7.2
672,7.333333333333333
673,6.2
674,6.4
675,7.25
676,8.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,7.4
684,7.4
685,7.4
686,7.0
687,7.5
688,7.2
689,7.2
690,7.2
691,6.8
692,8.0
693,7.25
694,7.4
695,7.5
696,7.2
697,7.0
698,7.0
699,7.25
700,7.0
701,7.0
702,7.0
703,6.75
704,7.2
705,7.2
706,7.2
707,7.0
708,7.0
709,7.2
710,7.0
711,7.0
712,7.0
713,7.2
714,7.4
715,6.6
716,7.25
717,7.2
718,7.2
719,8.0
720,7.2
721,6.75
722,7.0
723,7.0
724,8.0
725,7.0
726,7.25
727,0.0
728,7.5
729,0.0
730,6.6
731,7.0
732,6.0
733,5.5
734,6.0
735,6.6
736,6.6
737,7.4
738,7.0
739,7.2
740,6.4
741,7.6
742,6.6
743,7.0
744,8.0
745,7.25
746,6.6
747,6.8
748,7.2
749,6.75
750,6.8
751,7.2
752,7.2
753,7.0
754,6.4
755,6.8
756,6.8
757,6.8
758,6.8
759,7.6
760,6.4
761,6.8
762,6.0
763,6.6
764,7.25
765,7.75
766,6.333333333333333
767,6.4
768,7.2
769,7.0
770,6.8
771,7.8
772,7.4
773,6.6
774,7.0
775,0.0
776,7.0
777,7.5
778,7.6
779,6.8
780,6.0
781,6.8
782,7.0
783,6.25
784,7.4
785,7.5
786,7.0
787,6.25
788,6.5
789,6.666666666666667
790,7.0
791,7.0
792,7.0
793,6.8
794,7.25
795,7.75
796,7.0
797,7.5
798,6.8
799,6.8
800,6.8
801,6.8
802,7.2
803,6.4
804,6.75
805,7.5
806,7.6
807,7.4
808,6.4
809,7.0
810,7.0
811,7.0
812,7.0
813,6.8
814,6.8
815,7.25
816,7.0
817,7.0
818,7.2
819,6.75
820,7.333333333333333
821,7.0
822,0.0
823,7.0
824,5.8
825,6.2
826,7.0
827,7.0
828,7.0
829,7.25
830,7.0
831,7.5
832,7.5
833,7.0
834,7.0
835,7.0
836,6.5
837,7.0
838,5.75
839,6.6
840,7.2
841,7.0
842,7.0
843,7.75
844,7.2
845,0.0
846,7.25
847,7.4
848,7.4
849,7.6
850,7.75
851,7.75
852,7.2
853,6.2
854,7.0
855,7.4
856,7.8
857,7.5
858,7.0
859,7.6
860,7.4
861,9.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,7.6
868,7.4
869,6.75
870,7.0
871,7.25
872,7.8
873,7.5
874,7.2
875,7.5
876,6.8
877,6.2
878,7.6
879,7.0
880,6.8
881,6.0
882,6.333333333333333
883,7.4
884,7.0
885,6.833333333333333
886,7.5
887,6.0
888,0.0
889,7.0
890,7.0
891,7.4
892,7.0
893,7.25
894,7.0
895,7.5
896,5.2
897,6.4
898,7.0
899,7.6
900,7.2
901,7.4
902,7.0
903,6.2
904,6.6
905,6.8
906,7.2
907,7.0
908,7.0
909,6.2
910,6.6
911,7.0
912,7.4
913,7.0
914,6.833333333333333
915,6.75
916,7.8
917,7.0
918,7.0
919,7.5
920,8.0
921,6.5
922,0.0
923,0.0
924,7.4
925,6.5
926,7.75
927,7.0
928,6.6
929,6.4
930,6.5
931,7.2
932,6.5
933,6.25
934,7.5
935,6.8
936,7.4
937,8.25
938,6.5
939,6.0
940,6.25
941,7.0
942,7.4
943,7.2
944,6.0
945,6.2
946,7.0
947,6.5
948,6.4
949,7.2
950,6.666666666666667
951,0.0
952,6.8
953,7.0
954,0.0
955,7.0
956,6.6
957,6.4
958,6.2
959,8.0
960,8.2
961,7.2
962,7.0
963,6.6
964,6.4
965,6.8
966,6.75
967,8.0
968,6.75
969,6.75
970,6.4
971,6.4
972,6.6
